NOME;MARCA;
HR;HYUNDAI
1113;MERCEDES-BENZ
1214;MERCEDES-BENZ
1318;MERCEDES-BENZ
1519;MERCEDES-BENZ
1614;MERCEDES-BENZ
1620;MERCEDES-BENZ
7000D;AGRALE
709;MERCEDES-BENZ
710;MERCEDES-BENZ
912;MERCEDES-BENZ
2000;MERCEDES-BENZ
TRAILER;TRAILER
F-12000;FORD
MASCARELLO;VOLKSWAGEN
GRANMICRO;VOLKSWAGEN
ONIBUS;ONIBUS
GUINDASTE;UTILITARIOS PESADOS
EMPILHADEIRA;UTILITARIOS PESADOS
112;SCANIA
10000;AGRALE
13000;AGRALE
14000;AGRALE
1600;AGRALE
1800;AGRALE
4500;AGRALE
5000;AGRALE
6000;AGRALE
7000;AGRALE
7500;AGRALE
8000;AGRALE
8500;AGRALE
8700;AGRALE
9200;AGRALE
D-12000;CHEVROLET
D-13000;CHEVROLET
D-14000;CHEVROLET
19000;CHEVROLET
21000;CHEVROLET
22000;CHEVROLET
D-6000;CHEVROLET
C-60;CHEVROLET
D-40;CHEVROLET
D-60;CHEVROLET
D-70;CHEVROLET
JBC;EFFA
N601;EFFA
N900;EFFA
190;FIAT
CARGO;FORD
F-11000;FORD
F-13000;FORD
F-14000;FORD
F-16000;FORD
F-19000;FORD
F-2000;FORD
F-21000;FORD
F-22000;FORD
F-350;FORD
F-4;FORD
F-4000;FORD
F-7000;FORD
F-MAXX;FORD
12-170;CHEVROLET
14-190;CHEVROLET
15-190;CHEVROLET
16-220;CHEVROLET
3500;CHEVROLET
5-90;CHEVROLET
6-100;CHEVROLET
6-150;CHEVROLET
7-110;CHEVROLET
HD78;HYUNDAI
CITYCLASS;IVECO
CURSOR;IVECO
DAILY;IVECO
EUROCARGO;IVECO
EUROTECH;IVECO
EUROTRAKKER;IVECO
POWERSTAR;IVECO
STRALIS;IVECO
TECTOR;IVECO
TRAKKER;IVECO
VERTIS;IVECO
TGX;MAN
1114;MERCEDES-BENZ
1215;MERCEDES-BENZ
1218;MERCEDES-BENZ
1414;MERCEDES-BENZ
1420;MERCEDES-BENZ
1714;MERCEDES-BENZ
1720;MERCEDES-BENZ
1721;MERCEDES-BENZ
1723;MERCEDES-BENZ
1938;MERCEDES-BENZ
1944-S;MERCEDES-BENZ
2038;MERCEDES-BENZ
2418;MERCEDES-BENZ
2423;MERCEDES-BENZ
2638;MERCEDES-BENZ
2726;MERCEDES-BENZ
608;MERCEDES-BENZ
708;MERCEDES-BENZ
712;MERCEDES-BENZ
914;MERCEDES-BENZ
ACCELO;MERCEDES-BENZ
ACTROS;MERCEDES-BENZ
ATEGO;MERCEDES-BENZ
ATILIS;MERCEDES-BENZ
ATRON;MERCEDES-BENZ
AXOR;MERCEDES-BENZ
L-1117;MERCEDES-BENZ
L-1118;MERCEDES-BENZ
L-1313;MERCEDES-BENZ
L-1314;MERCEDES-BENZ
L-1317;MERCEDES-BENZ
L-1319;MERCEDES-BENZ
L-1514;MERCEDES-BENZ
L-1517;MERCEDES-BENZ
1520;MERCEDES-BENZ
L-2014;MERCEDES-BENZ
L-2017;MERCEDES-BENZ
L-2213;MERCEDES-BENZ
L-2214;MERCEDES-BENZ
L-2215;MERCEDES-BENZ
L-2216;MERCEDES-BENZ
L-2217;MERCEDES-BENZ
L-2220;MERCEDES-BENZ
L-2225;MERCEDES-BENZ
L-2314;MERCEDES-BENZ
L-2318;MERCEDES-BENZ
L-2325;MERCEDES-BENZ
2635;MERCEDES-BENZ
LS-1632;MERCEDES-BENZ
LS-1941;MERCEDES-BENZ
DURASTAR;NAVISTAR
INTERNATIONAL;NAVISTAR
7900;PUMA
9000;PUMA
914;PUMA
R-112;SAAB
R-142;SAAB
T-112;SAAB
T-142;SAAB
380;SCANIA
400;SCANIA
420;SCANIA
440;SCANIA
470;SCANIA
480;SCANIA
111;SCANIA
141;SCANIA
114;SCANIA
230;SCANIA
P-250;SCANIA
P-270;SCANIA
P-310;SCANIA
P-340;SCANIA
93;SCANIA
94;SCANIA
143;SCANIA
164;SCANIA
R-500;SCANIA
R-560;SCANIA
R-580;SCANIA
R-620;SCANIA
HOWO;SINOTRUK
11-130;VOLKSWAGEN
11-140;VOLKSWAGEN
12-170;VOLKSWAGEN
12-180;VOLKSWAGEN
13-130;VOLKSWAGEN
13-150;VOLKSWAGEN
13-170;VOLKSWAGEN
14-140;VOLKSWAGEN
14-150;VOLKSWAGEN
14-170;VOLKSWAGEN
14-180;VOLKSWAGEN
14-200;VOLKSWAGEN
14-210;VOLKSWAGEN
14-220;VOLKSWAGEN
15-170;VOLKSWAGEN
16-170;VOLKSWAGEN
16-200;VOLKSWAGEN
16-210;VOLKSWAGEN
16-220;VOLKSWAGEN
16-300;VOLKSWAGEN
17-180;VOLKSWAGEN
17-210;VOLKSWAGEN
17-220;VOLKSWAGEN
17-280;VOLKSWAGEN
17-300;VOLKSWAGEN
17-310;VOLKSWAGEN
17-330;VOLKSWAGEN
18-310;VOLKSWAGEN
19-330;VOLKSWAGEN
19-390;VOLKSWAGEN
22-140;VOLKSWAGEN
22-160;VOLKSWAGEN
22-210;VOLKSWAGEN
23-210;VOLKSWAGEN
23-220;VOLKSWAGEN
23-250;VOLKSWAGEN
23-310;VOLKSWAGEN
24-220;VOLKSWAGEN
24-280;VOLKSWAGEN
24-330;VOLKSWAGEN
25-390;VOLKSWAGEN
26-220;VOLKSWAGEN
26-280;VOLKSWAGEN
26-300;VOLKSWAGEN
26-310;VOLKSWAGEN
26-390;VOLKSWAGEN
31-280;VOLKSWAGEN
31-310;VOLKSWAGEN
31-330;VOLKSWAGEN
31-390;VOLKSWAGEN
35-300;VOLKSWAGEN
40-300;VOLKSWAGEN
6-80;VOLKSWAGEN
6-90;VOLKSWAGEN
7-100;VOLKSWAGEN
7-110;VOLKSWAGEN
7-90;VOLKSWAGEN
8-100;VOLKSWAGEN
8-120;VOLKSWAGEN
8-140;VOLKSWAGEN
L-80;VOLKSWAGEN
FH SERIES;VOLVO
FH GLOBETROTTER SERIES;VOLVO
FM SERIES;VOLVO
FMX SERIES;VOLVO
N SERIES;VOLVO
NH SERIES;VOLVO
NL SERIES;VOLVO
VM SERIES;VOLVO
11-160;VOLKSWAGEN
12-140;VOLKSWAGEN
17-230;VOLKSWAGEN
24-230;VOLKSWAGEN
28-440;VOLKSWAGEN
29-440;VOLKSWAGEN
31-440;VOLKSWAGEN
33-440;VOLKSWAGEN
16-180;VOLKSWAGEN
17-240;VOLKSWAGEN
17-260;VOLKSWAGEN
18-320;VOLKSWAGEN
18-330;VOLKSWAGEN
15-210;VOLKSWAGEN
1516;MERCEDES-BENZ
1935;MERCEDES-BENZ
2555;MERCEDES-BENZ
0-400;MERCEDES-BENZ
BI-TREM;SCHIFFER
BITREM;GUERRA
1513;MERCEDES-BENZ
D-1200;CHEVROLET
F-3500;FORD
F-600;FORD
2219;MERCEDES-BENZ
1313;MERCEDES-BENZ
35-10;IVECO
MARTA-ROCHA;CHEVROLET
1929;MERCEDES-BENZ
124;SCANIA
1618;MERCEDES-BENZ
1934;MERCEDES-BENZ
1924;MERCEDES-BENZ
1634;MERCEDES-BENZ
F-400;FORD
MOTOR-HOME;MOTOR-HOME
PA CARREGADEIRA;MICHIGAN
MICRO-ONIBUS;ONIBUS
113;SCANIA
1525;MERCEDES-BENZ
2621;MERCEDES-BENZ
210;FIAT
110;SCANIA
LK-140;SCANIA
L-80;SCANIA
B-110;SCANIA
BR-115;SCANIA
B-111;SCANIA
BR-116;SCANIA
81;SCANIA
82;SCANIA
92;SCANIA
142;SCANIA
144;SCANIA
L-71;SCANIA
L-75;SCANIA
L-76;SCANIA
P-330;SCANIA
F-750;FORD
1625;MERCEDES-BENZ
2013;MERCEDES-BENZ
312;MERCEDES-BENZ
80S;IVECO
F-6;FORD
490;SCANIA
180;FNM
1622;MERCEDES-BENZ
1524;MERCEDES-BENZ
1630;MERCEDES-BENZ
1932;MERCEDES-BENZ
1316;MERCEDES-BENZ
133;SCANIA
MATRA;CHEVROLET
1111;MERCEDES-BENZ
COE;CHEVROLET
COE;FORD
130;FIAT
F-8;FORD
CONSTELLATION;VOLKSWAGEN
DELIVERY;VOLKSWAGEN
WORKER;VOLKSWAGEN
321;MERCEDES-BENZ
1317;MERCEDES-BENZ
180;FIAT
ESCAVADEIRA;UTILITARIOS PESADOS
MUNCK;UTILITARIOS PESADOS
GUINCHO;UTILITARIOS PESADOS
CARREGADEIRA;UTILITARIOS PESADOS
MOTONIVELADORA;UTILITARIOS PESADOS
2213;MERCEDES-BENZ
TANQUE;UTILITARIOS PESADOS
POLIGUINDASTE;UTILITARIOS PESADOS
1621;MERCEDES-BENZ
F-8000;FORD
24250;MAN
1632;MERCEDES-BENZ
PERFURATRIZ;UTILITARIOS PESADOS
180;MERCEDES-BENZ
1517;MERCEDES-BENZ
C-65;CHEVROLET
D-11000;CHEVROLET
D-65;CHEVROLET
FL SERIES;VOLVO